ts,consumo_gas,producao,turno,gas/prod
2020-08-19 03:38:13,22.974520000000002,516.1487,TURNO 3,44.51143633607912
2020-08-19 03:43:20,22.91084,514.7495,TURNO 3,44.50871734698139
2020-08-19 03:48:16,22.901989999999998,517.1807,TURNO 3,44.28237557975384
2020-08-19 03:53:12,22.8842,515.1555,TURNO 3,44.4219269715649
2020-08-19 03:58:18,22.92223,487.962,TURNO 3,46.97544071054713
2020-08-19 04:03:14,22.87311,484.8192,TURNO 3,47.17863896479347
2020-08-19 04:08:21,22.060760000000002,483.7713,TURNO 3,45.601630357154306
2020-08-19 04:13:16,21.8617,483.7262,TURNO 3,45.19436821904623
2020-08-19 04:18:13,22.00459,495.1958,TURNO 3,44.43614020958982
2020-08-19 04:23:19,22.8909,546.304,TURNO 3,41.90139555998125
2020-08-19 04:28:15,23.13654,554.1592,TURNO 3,41.750709904301864
2020-08-19 04:33:11,23.4624,556.5845,TURNO 3,42.15424612075973
2020-08-19 04:38:17,23.51128,554.8764,TURNO 3,42.37210304853477
2020-08-19 04:43:14,23.45156,553.0959,TURNO 3,42.40053126410809
2020-08-19 04:48:20,23.45029,553.0687,TURNO 3,42.40032024954584
2020-08-19 04:53:16,23.463620000000002,555.4999,TURNO 3,42.23874747772232
2020-08-19 04:58:12,23.42067,527.1719,TURNO 3,44.42700758519185
2020-08-19 05:03:18,23.36865,491.5711,TURNO 3,47.538697860797754
2020-08-19 05:08:14,23.42761,505.8021,TURNO 3,46.31773968514563
2020-08-19 05:13:21,23.49115,553.2286,TURNO 3,42.46192261209923
2020-08-19 05:18:17,23.56865,564.0346,TURNO 3,41.785823068301134
2020-08-19 05:23:13,23.67845,563.6431,TURNO 3,42.00965114271779
2020-08-19 05:28:19,23.69366,560.5632,TURNO 3,42.26759801570991
2020-08-19 05:33:15,23.66005,562.4579,TURNO 3,42.065459477055974
2020-08-19 05:38:11,23.59055,563.3976,TURNO 3,41.87193910659186
2020-08-19 05:43:18,23.62477,560.6202,TURNO 3,42.14041877192438
2020-08-19 06:11:26,17.17407,404.9739,TURNO 1,42.40784406106171
2020-08-19 06:16:22,0.0,0.0,TURNO 1,0.0
2020-08-19 06:31:40,0.0,0.0,TURNO 1,0.0
2020-08-19 06:36:36,2.701743,86.63757,TURNO 1,31.18442726406108
2020-08-19 06:41:42,20.2483,446.6331,TURNO 1,45.33542184849264
2020-08-19 06:46:38,26.438340000000004,550.9183,TURNO 1,47.98958393649295
2020-08-19 06:51:34,28.10561,635.3481,TURNO 1,44.236553158811674
2020-08-19 06:56:41,27.98732,645.9476,TURNO 1,43.327539261698625
2020-08-19 07:01:37,27.13787,639.29,TURNO 1,42.45001486023558
2020-08-19 07:06:33,26.55576,640.149,TURNO 1,41.48371707211914
2020-08-19 07:11:39,26.359409999999997,634.8074,TURNO 1,41.523476254372575
2020-08-19 07:16:35,26.14864,634.5481,TURNO 1,41.20828665313157
2020-08-19 07:21:42,26.20777,632.9786,TURNO 1,41.403880004790054
2020-08-19 07:26:38,26.10864,631.8448,TURNO 1,41.32128649313882
2020-08-19 07:31:34,25.89722,630.8578,TURNO 1,41.05080415903552
2020-08-19 07:36:40,25.59744,629.5878,TURNO 1,40.65745873728811
2020-08-19 07:41:36,25.2053,629.1042,TURNO 1,40.0653818556608
2020-08-19 07:46:42,24.99277,628.2366,TURNO 1,39.78241636988358
2020-08-19 07:51:38,25.07998,627.1663,TURNO 1,39.98936167329144
2020-08-19 07:56:34,25.1263,626.7097,TURNO 1,40.0924064203889
2020-08-19 08:01:41,25.01197,626.4123,TURNO 1,39.92892540583894
2020-08-19 08:06:37,24.96171,625.1766,TURNO 1,39.9274540985699
2020-08-19 08:11:33,24.97438,626.4633,TURNO 1,39.86567130109617
2020-08-19 08:16:39,24.67549,628.0169999999999,TURNO 1,39.29111791559783
2020-08-19 08:21:35,24.321379999999998,627.019,TURNO 1,38.788904323473446
2020-08-19 08:26:41,24.04198,626.6384,TURNO 1,38.36659228033264
2020-08-19 08:31:37,23.83782,625.4395,TURNO 1,38.113710438819425
2020-08-19 08:36:34,23.788439999999998,624.1861,TURNO 1,38.11113384293562
2020-08-19 08:41:40,23.72028,624.705,TURNO 1,37.97037001464691
2020-08-19 08:46:36,23.745620000000002,624.3347,TURNO 1,38.033477876530014
2020-08-19 08:51:43,23.7851,623.0895,TURNO 1,38.17284675796976
2020-08-19 08:56:38,23.57077,621.3159,TURNO 1,37.93685305655303
2020-08-19 09:01:34,23.12651,620.6763,TURNO 1,37.260178937072354
2020-08-19 09:06:40,23.2235,530.1351,TURNO 1,43.80675793774078
2020-08-19 09:11:36,22.09767,437.0665,TURNO 1,50.559056802568946
2020-08-19 09:16:43,7.159777,129.384,TURNO 1,55.33742193779757
2020-08-19 09:29:02,0.0,0.0,TURNO 1,0.0
2020-08-19 09:34:09,0.0,0.0,TURNO 1,0.0
2020-08-19 09:46:38,0.0,0.0,TURNO 1,0.0
2020-08-19 09:51:34,8.057611999999999,215.3824,TURNO 1,37.410726224612596
2020-08-19 09:56:41,22.8369,466.9916,TURNO 1,48.90216440723987
2020-08-19 10:01:36,25.13233,551.1359,TURNO 1,45.60096702101968
2020-08-19 10:06:43,26.336,620.2421,TURNO 1,42.460839082029416
2020-08-19 10:11:39,26.40415,585.3153,TURNO 1,45.11098548081692
2020-08-19 10:16:34,25.30979,616.923,TURNO 1,41.025849255093426
2020-08-19 10:21:41,24.66394,630.9028,TURNO 1,39.093090092483344
2020-08-19 10:26:37,23.86303,575.7053,TURNO 1,41.45007871214665
2020-08-19 10:31:43,23.25408,566.4897,TURNO 1,41.04943126062133
2020-08-19 10:36:39,22.919729999999998,618.0004,TURNO 1,37.086917743095306
2020-08-19 10:41:35,23.301379999999998,666.699,TURNO 1,34.95037490681702
2020-08-19 10:56:43,3.7827610000000003,136.7286,TURNO 1,27.66620151160767
2020-08-19 11:33:28,11.39841,302.0108,TURNO 1,37.741729765955384
2020-08-19 11:38:24,18.85653,401.5823,TURNO 1,46.95558046258513
2020-08-19 12:14:27,14.012920000000001,175.8512,TURNO 1,79.68623472572267
2020-08-19 12:28:43,2.633665,86.10805,TURNO 1,30.585584042374666
2020-08-19 12:33:38,21.2841,415.0421,TURNO 1,51.281785630903464
2020-08-19 12:38:45,25.85171,384.4586,TURNO 1,67.24185647037159
2020-08-19 12:43:41,22.05507,319.6721,TURNO 1,68.99278979929747
2020-08-19 12:48:47,19.99911,244.6191,TURNO 1,81.75612615695177
2020-08-19 12:53:43,17.08687,254.4419,TURNO 1,67.15430909767613
2020-08-19 12:58:39,16.08343,329.8565,TURNO 1,48.758869387142596
2020-08-19 13:03:46,21.63765,400.6621,TURNO 1,54.00473366460167
2020-08-19 13:08:42,21.46404,337.8464,TURNO 1,63.53194824630364
2020-08-19 13:13:48,18.65024,378.4415,TURNO 1,49.281698756611
2020-08-19 13:18:44,19.38136,507.0401,TURNO 1,38.22451123688245
2020-08-19 13:23:40,20.98525,505.4709,TURNO 1,41.51623763108816
2020-08-19 13:28:46,21.556820000000002,501.2447,TURNO 1,43.006579421188896
2020-08-19 13:33:42,22.33067,422.9817,TURNO 1,52.79346600573973
2020-08-19 13:38:49,20.97267,478.26300000000003,TURNO 1,43.851751024018164
2020-08-19 13:43:47,20.18856,469.2752,TURNO 1,43.02072643088746
2020-08-19 13:48:42,20.34618,402.65,TURNO 1,50.53068421706197
2020-08-19 13:53:40,21.744329999999998,392.9581,TURNO 1,55.33498355168146
2020-08-19 13:58:46,22.284760000000002,363.6726,TURNO 1,61.276983748569464
2020-08-19 14:03:42,22.31219,342.9538,TURNO 2,65.0588796508451
2020-08-19 14:08:49,19.754070000000002,325.0582,TURNO 2,60.770871185529245
